기업명,기업코드,공시신용등급,감성지수,ESG등급,환경,사회,지배구조,GMM_Cluster
기아,270,AA,0.7289954,A,A+,A+,B+,3
기업은행,24110,BBB+,0.528273924,A,A+,A+,A,3
까뮤이앤씨,13700,AA,0.77270563,C,D,D,B,1
깨끗한나라,4540,BBB-,0.705839003,B,B,B+,B,2
나노신소재,121600,AA,0.350909639,C,C,D,C,1
나스미디어,89600,BBB,0.968856949,B+,B+,A,B+,2
나우IB,293580,BBB+,0.608438984,D,D,D,C,1
남광토건,1260,AA,0.461523804,D,D,D,D,1
남선알미늄,8350,AA,0.261763135,D,C,D,D,1
남성,4270,AA-,0.737732001,D,D,D,D,1
남양유업,3920,A-,0.951328438,B,A,A+,C,2
남해화학,25860,A,0.988112359,C,C,D,C,1
네오위즈,95660,BB,0.974119183,C,D,D,B+,1
네이처셀,7390,A+,0.768718856,D,C,D,D,1
네패스,33640,A+,0.224827237,C,B,B+,D,1
넥센,5720,AA,0.967797191,B+,B+,A,B,2
넥센타이어,2350,BB,0.47541373,B,A,A+,C,2
넥스틴,348210,BB+,0.838142968,C,B,B,D,1
넥슨게임즈,225570,AA,0.934473106,D,D,D,C,1
넵튠,217270,B,0.811307484,C,D,C,B,1
넷마블,251270,AA,0.495148327,A,B+,A+,A,3
노루페인트,90350,AA-,0.535668978,A,A,A+,B+,3
노루홀딩스,320,BB,0.955015827,A,A,A+,B+,3
녹십자,6280,A-,0.984721468,B+,A,A+,B,2
녹십자홀딩스,5250,AA-,0.762213216,A,A,A+,B+,3
농심,4370,A,0.73503239,B,A,B+,C,2
농심홀딩스,72710,BB,0.960521762,B,B+,B+,B,2
농우바이오,54050,AA-,0.592613024,C,D,D,B,1
다스코,58730,BBB,0.113712095,C,C,D,B,1
다올투자증권,30210,BBB+,-0.076314596,B+,A,A,B+,2
다우기술,23590,AA-,0.605797676,A,A,A+,B+,3
다우데이타,32190,A,0.820404498,D,D,C,D,1
다원시스,68240,BBB-,0.868510672,D,D,D,D,1
다이나믹디자인,145210,BBB+,0.70864445,D,C,D,D,1
대교,19680,A+,0.680235337,B,D,B+,B+,2
대구백화점,6370,A+,0.986786095,C,D,C,B,1
대덕,8060,BBB,0.895804426,B+,B+,A,B,2
대덕전자,353200,AA-,0.777273139,B+,B+,A,B,2
대동,490,A+,0.88197062,B+,B+,A+,B,2
대동전자,8110,BB,0.432474519,D,D,D,D,1
대림바스,5750,AA,0.859818311,C,C,C,C,1
대림통상,6570,BBB+,0.928408825,D,C,C,D,1
대상,1680,A+,0.784693016,A,A,A+,B+,3
대상홀딩스,84690,BB,0.389009498,B,A,A+,C,2
대성산업,128820,BB-,0.416310616,C,C,B,D,1
대성에너지,117580,BBB+,0.339372913,B,B+,A,C,2
대성홀딩스,16710,A+,-0.049701224,C,B+,A,D,1
대신증권,3540,AA,0.749492644,B+,B+,A,B+,2
대양금속,9190,A+,0.900262878,D,C,C,D,1
대영포장,14160,AA-,0.539807144,D,D,D,D,1
대우건설,47040,A+,0.90442818,A,A,B+,A,3
대웅,3090,AA,0.619690357,B+,B+,A,B,2
대웅제약,69620,AA,0.517998826,B,B+,A,C,2
대원강업,430,AA-,0.515224063,B+,B+,A,B+,2
