기업명,기업코드,공시신용등급,감성지수,ESG등급,환경,사회,지배구조,GMM_Cluster
한화생명,88350,AA-,0.63358958,A,A,A+,B+,3
한화손해보험,370,A-,0.759826281,A,A,A+,B+,3
한화솔루션,9830,A+,0.230173752,B+,A,A+,B,2
한화시스템,272210,A+,0.574926587,A,A,A+,A,3
한화에어로스페이스,12450,A-,0.892825072,A,A,A+,B+,3
한화엔진,82740,BB+,0.543471634,B+,B+,A,B+,2
한화오션,42660,A-,0.964994667,B+,A,B,B,2
한화투자증권,3530,A,0.98456943,A,A,A+,B+,3
해성디에스,195870,A+,0.639506806,A,A,A+,B+,3
해태제과식품,101530,A,0.93339439,D,D,C,D,1
핸즈코퍼레이션,143210,A,0.845699116,D,C,D,D,1
현대건설,720,AA-,0.719427535,A,BBB,A,B+,3
현대글로비스,86280,AA-,0.921937974,A,A,A+,A,3
현대로템,64350,A+,0.976448774,A+,A+,A+,A,4
현대리바트,79430,AA-,0.016,A,A,A+,A,3
현대모비스,12330,AA,0.752232686,A,A+,A+,B+,3
현대바이오,48410,AA,0.757834358,D,D,D,D,1
현대바이오랜드,52260,A,0.811822531,A,A,A+,A,3
현대백화점,69960,A-,0.606276321,A+,A+,A+,A,4
현대비앤지스틸,4560,AA,0.993633449,B+,B+,A,B,2
현대사료,16790,A,0.811476349,D,D,D,D,1
현대약품,4310,BB,0.821731371,C,C,C,C,1
현대에버다임,41440,A-,0.973567642,A,B+,A,A,3
현대엘리베이터,17800,AA,0.605997661,A,A,A+,B+,3
현대오토에버,307950,A,0.525159044,A,A,A+,A,3
현대위아,11210,A,0.781327622,A+,A+,A+,A,4
현대이지웰,90850,BBB,0.871039024,A+,A+,A+,A+,4
현대자동차,5380,A+,0.555734151,A,A+,B+,A,3
현대제철,4020,BBB+,0.361894812,A,A,A,B+,3
현대지에프홀딩스,5440,A,0.950484793,A,A+,A+,A,3
현대차증권,1500,BBB+,0.973348891,B+,A,A,B+,2
현대코퍼레이션,11760,BBB+,0.946233498,B+,B+,B+,B+,2
현대코퍼레이션홀딩스,227840,A+,0.434352474,B+,B,B+,B+,2
현대퓨처넷,126560,BBB,0.699317344,A,A+,A+,A,3
현대해상,1450,BBB+,0.529965754,A,A,A+,A,3
현대홈쇼핑,57050,AA,0.533194466,A+,A,A+,A+,4
형지엘리트,93240,A,0.745765471,D,D,D,D,1
혜인,3010,A+,0.86785982,D,D,D,D,1
호전실업,111110,BB,0.683060601,C,D,D,B+,1
호텔신라,8770,BBB,0.881445708,A,B+,A,A,3
화승알앤에이,378850,BB-,0.388688296,B+,B+,B+,B+,2
화승엔터프라이즈,241590,A-,0.778884509,B+,B+,A,B+,2
화승인더스트리,6060,BB-,0.421071217,B+,B+,A,B+,2
화승코퍼레이션,13520,A-,0.782063702,B+,B+,B+,B+,2
화신,10690,A+,0.333936731,B+,B+,A,B,2
화인베스틸,133820,BB+,0.721995823,D,C,D,D,1
화천기계,10660,BBB-,0.834379819,C,D,C,C,1
화천기공,850,BBB-,0.820642278,C,D,C,C,1
환인제약,16580,A-,0.80266911,C,D,C,B+,1
황금에스티,32560,A+,0.994402085,C,D,D,B+,1
효성,4800,BBB,0.884275831,A,A,A+,B+,3
효성 ITX,94280,BBB+,0.795990969,A,A,A+,A,3
효성중공업,298040,A-,0.424206025,B+,A,A+,B,2
효성티앤씨,298020,A+,0.385485035,B+,A,A+,B,2
효성화학,298000,A-,0.876274341,A,A,A+,B+,3
후성,93370,BBB+,0.445933598,B,B+,A,C,2
휴니드테크놀러지스,5870,AA,0.687569944,C,C,D,C,1
휴비스,79980,A,0.960098626,B+,B+,A,B+,2
휴스틸,5010,BBB+,0.915158203,C,C,C,C,1
휴온스,243070,BBB,0.743641361,A,A,A,B+,3
휴젤,145020,BB,0.991996296,C,C,C,B,1
흥국화재,540,A-,0.970731797,B+,C,B+,B+,2
흥아해운,3280,AA-,0.802829839,B,B,B+,B,2
